Action*,ID,Name*,Description,Contract ID,Contract Number,UOM ID**,UOM code**,List Price,List Price Currency ID,List Price Currency Code,Source Part Num,Lead Time,Image URL
Add,KGP00503,"Scaffold, Trestle, Aluminium, 01.80 m","Scaffold, Trestle, Aluminium, 01.80 m",44,Equipment Contract - Sample,2,Week,,GBP,,sample-1,,http://127.0.0.1:3000/plugin_assets/coupa_engine/images/no-image.jpg
Add,KGP00504,"Scaffold, Trestle, Aluminium, 02.40 m","Scaffold, Trestle, Aluminium, 02.40 m",44,Equipment Contract - Sample,2,Week,,GBP,,sample-1,,http://127.0.0.1:3000/plugin_assets/coupa_engine/images/no-image.jpg
Add,KGP00505,"Scaffold, Trestle, Aluminium, 03.00 m","Scaffold, Trestle, Aluminium, 03.00 m",44,Equipment Contract - Sample,2,Week,,GBP,,sample-1,,http://127.0.0.1:3000/plugin_assets/coupa_engine/images/no-image.jpg
Add,KGP00506,"Scaffold, Trestle, Aluminium, 03.60 m","Scaffold, Trestle, Aluminium, 03.60 m",44,Equipment Contract - Sample,2,Week,,GBP,,sample-1,,http://127.0.0.1:3000/plugin_assets/coupa_engine/images/no-image.jpg
Add,KGP00515,"Scaffold, Trestle, Steel, 01.80 m","Scaffold, Trestle, Steel, 01.80 m",44,Equipment Contract - Sample,2,Week,,GBP,,sample-1,,http://127.0.0.1:3000/plugin_assets/coupa_engine/images/no-image.jpg
Add,KGP00516,"Scaffold, Trestle, Steel, 02.40 m","Scaffold, Trestle, Steel, 02.40 m",44,Equipment Contract - Sample,2,Week,,GBP,,sample-1,,http://127.0.0.1:3000/plugin_assets/coupa_engine/images/no-image.jpg
Add,KGP00517,"Scaffold, Trestle, Steel, 03.00 m","Scaffold, Trestle, Steel, 03.00 m",44,Equipment Contract - Sample,2,Week,,GBP,,sample-1,,http://127.0.0.1:3000/plugin_assets/coupa_engine/images/no-image.jpg
Add,KGP00518,"Scaffold, Trestle, Steel, 03.60 m","Scaffold, Trestle, Steel, 03.60 m",44,Equipment Contract - Sample,2,Week,,GBP,,sample-1,,http://127.0.0.1:3000/plugin_assets/coupa_engine/images/no-image.jpg
Add,KGP00519,"Scaffold, Trestle, Wooden, 01.80 m","Scaffold, Trestle, Wooden, 01.80 m",44,Equipment Contract - Sample,2,Week,,GBP,,sample-1,,http://127.0.0.1:3000/plugin_assets/coupa_engine/images/no-image.jpg
Add,KGP00520,"Scaffold, Trestle, Wooden, 02.40 m","Scaffold, Trestle, Wooden, 02.40 m",44,Equipment Contract - Sample,2,Week,,GBP,,sample-1,,http://127.0.0.1:3000/plugin_assets/coupa_engine/images/no-image.jpg
Add,KGP00521,"Scaffold, Trestle, Wooden, 03.00 m","Scaffold, Trestle, Wooden, 03.00 m",44,Equipment Contract - Sample,2,Week,,GBP,,sample-1,,http://127.0.0.1:3000/plugin_assets/coupa_engine/images/no-image.jpg
Add,KGP00522,"Scaffold, Trestle, Wooden, 03.60 m","Scaffold, Trestle, Wooden, 03.60 m",44,Equipment Contract - Sample,2,Week,,GBP,,sample-1,,http://127.0.0.1:3000/plugin_assets/coupa_engine/images/no-image.jpg
Add,KGP00230,"Scaffold, Platform, Folding, 00.50 m","Scaffold, Platform, Folding, 00.50 m",44,Equipment Contract - Sample,2,Week,,GBP,,sample-1,,http://127.0.0.1:3000/plugin_assets/coupa_engine/images/no-image.jpg
Add,KGP00231,"Scaffold, Platform, Folding, 01.00 m","Scaffold, Platform, Folding, 01.00 m",44,Equipment Contract - Sample,2,Week,,GBP,,sample-1,,http://127.0.0.1:3000/plugin_assets/coupa_engine/images/no-image.jpg
Add,KGP00232,"Scaffold, Platform, Folding, 01.50 m","Scaffold, Platform, Folding, 01.50 m",44,Equipment Contract - Sample,2,Week,,GBP,,sample-1,,http://127.0.0.1:3000/plugin_assets/coupa_engine/images/no-image.jpg
Add,KGP00233,"Scaffold, Platform, Folding, 02.00 m","Scaffold, Platform, Folding, 02.00 m",44,Equipment Contract - Sample,2,Week,,GBP,,sample-1,,http://127.0.0.1:3000/plugin_assets/coupa_engine/images/no-image.jpg
Add,KGP00234,"Scaffold, Platform, Folding, 02.50 m","Scaffold, Platform, Folding, 02.50 m",44,Equipment Contract - Sample,2,Week,,GBP,,sample-1,,http://127.0.0.1:3000/plugin_assets/coupa_engine/images/no-image.jpg
